property;property_family;property_detail;created_at
Hypoglycémiant ;Hormonal;réduit la glycémie;27/01/2026
Antioxydant;Hormonal;Protège les cellules / Ralenti leur destruction;27/01/2026
Antispasmodique;Hormonal;Diminue les douleurs menstruelles;27/01/2026
Energisant;Hormonal;Augmente le tonus;27/01/2026
Antibactérien;Infectieux;Élimine les microbes;27/01/2026
Antibactérienne;Infectieux;Élimine les microbes;27/01/2026
Immunostimulante;Infectieux;Renforce l’immunité;27/01/2026
Laxative;Laxative;Facilite le transit;27/01/2026
Anti-inflammatoire;musculosquelettique;Réduit l’inflammation;27/01/2026
Reminéralisante;musculosquelettique;Renforce les os;27/01/2026
Antirhumatismale;musculosquelettique;Combat les rhumatismes;27/01/2026
Antalgique;musculosquelettique;Soulage la douleur;27/01/2026
Narcotique;Narcotique;Effet narcotique;27/01/2026
Adaptogène;Neurologique;aide à gérer le stress;27/01/2026
Antidépresseur;Neurologique;Améliore l’humeur;27/01/2026
Antidépressif léger;Neurologique;Améliore l’humeur;27/01/2026
Calmante;Neurologique;Diminue l’anxiété;27/01/2026
Calmante;Neurologique;Calme l’anxiété;27/01/2026
Relaxant;Neurologique;Calme le système Neurologique;27/01/2026
Sédatif / Relaxant;Neurologique;Calme le système Neurologique;27/01/2026
Sédative;Neurologique;Calme le système Neurologique;27/01/2026
Calmante;Neurologique;Facilite l’endormissement;27/01/2026
Neurologique;Neurologique;w;27/01/2026
Calmante;Neurologique;Calme le système Neurologique;27/01/2026
Calmante;Neurologique;Diminue la nervosité;27/01/2026
Calmante;Neurologique;Calme la nervosité;27/01/2026
Sédative;Neurologique;Calme la nervosité;27/01/2026
Antispasmodique;Neurologique;Calme les spasmes;27/01/2026
Hypnotique;Neurologique;Facilite l’endormissement;27/01/2026
Calmant;Neurologique;Calme le système Neurologique;27/01/2026
Fébrifuge;Neurologique;Réduit la fièvre;27/01/2026
Hypnotique;Neurologique;Effet hypnotique;27/01/2026
Relaxant;Neurologique;Effet relaxant;27/01/2026
Relaxante;Neurologique;Effet relaxant;27/01/2026
Sédative;Neurologique;Effet sédatif;27/01/2026
Stimulante neuro-musculaire;Neuromusculaire;Stimule les muscles et nerfs;27/01/2026
Nourrissant;Nutritive;Nourrit l’organisme;27/01/2026
Nutritive;Nutritive;Zeste;27/01/2026
Restauratif;Nutritive;Restauratif général;27/01/2026
Antioxydant;Ophtalmologique;Protège la rétine;27/01/2026
Astringente;ORL;Resserre les tissus;27/01/2026
Antiseptique;ORL;Élimine les microbes;27/01/2026
Pectorale;Pectorale;Adoucit et protège les bronches;27/01/2026
Pectorale;Pectorale;Protège les bronches;27/01/2026
Apéritif;Poids;Stimule l’appétit;27/01/2026
